date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:41	27789/27789	---M-Z	200	added ('OK')	text/html	etag:W/%22639aba88-6c8d%22	https://themewagon.github.io/dashmin/index.html	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/index.html	(from )
22:04:41	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264ef53dd-239b%22	https://themewagon.github.io/robots.txt		(from )
22:04:41	13143/13143	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22639aba88-3357%22	https://themewagon.github.io/dashmin/img/favicon.ico	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/img/favicon.ico	(from https://themewagon.github.io/dashmin/index.html)
22:04:42	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Os%20meus%20Sites/QuahtHub/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/dashmin/index.html)
22:04:42	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Os%20meus%20Sites/QuahtHub/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/dashmin/index.html)
22:04:42	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639aba88-b78%22	https://themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.carousel.min.css	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/dashmin/index.html)
22:04:42	9060/9060	---M-Z	200	added ('OK')	text/css	etag:W/%22639aba88-2364%22	https://themewagon.github.io/dashmin/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://themewagon.github.io/dashmin/index.html)
22:04:43	164309/164309	---M-Z	200	added ('OK')	text/css	etag:W/%22639aba88-281d5%22	https://themewagon.github.io/dashmin/css/bootstrap.min.css	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/css/bootstrap.min.css	(from https://themewagon.github.io/dashmin/index.html)
22:04:43	4998/4998	---M-Z	200	added ('OK')	text/css	etag:W/%22639aba88-1386%22	https://themewagon.github.io/dashmin/css/style.css	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/css/style.css	(from https://themewagon.github.io/dashmin/index.html)
22:04:43	10720/10720	---M--	200	added ('OK')	image/jpeg	etag:%22639aba88-29e0%22	https://themewagon.github.io/dashmin/img/user.jpg	C:/Os%20meus%20Sites/QuahtHub/themewagon.github.io/dashmin/img/user.jpg	(from https://themewagon.github.io/dashmin/index.html)
